date,year,close,trade_times,trade_money
1992Q1,1992.0,339.61196721311484,469890.1639344262,8773704.918032788
1992Q2,1992.0,778.05640625,3715642.1875,76512843.75
1992Q3,1992.0,928.4809090909091,8362256.060606061,126937984.84848484
1992Q4,1992.0,604.3718749999999,15718604.6875,177028734.375
1993Q1,1993.0,1182.115573770492,44654637.704918034,854644704.9180328
1993Q2,1993.0,1117.3158461538465,44117335.384615384,826128707.6923077
1993Q3,1993.0,885.082272727273,42018606.06060606,502299954.54545456
1993Q4,1993.0,880.8379999999999,108091813.84615384,1517994400.0
1994Q1,1994.0,781.5528813559323,157381896.6101695,1646743542.3728814
1994Q2,1994.0,572.4996874999999,160080021.875,1023247531.25
1994Q3,1994.0,670.5518181818182,562884975.7575758,4662173606.060606
1994Q4,1994.0,680.4925396825398,189837947.6190476,1675233968.2539682
1995Q1,1995.0,584.987966101695,80493216.94915254,588045016.9491526
1995Q2,1995.0,654.9196874999999,184952821.875,1395243765.625
1995Q3,1995.0,715.6986153846153,349184367.6923077,1792059630.7692308
1995Q4,1995.0,669.1353968253968,197311888.8888889,1129561587.3015873
1996Q1,1996.0,546.6224074074074,112447677.77777778,544342407.4074074
1996Q2,1996.0,673.785859375,416101806.25,2864728031.25
1996Q3,1996.0,820.9037538461536,476575838.46153843,3994639230.769231
1996Q4,1996.0,982.3015937500004,846224465.625,7388107359.375
1997Q1,1997.0,1024.5979245283013,627774341.509434,6176861830.18868
1997Q2,1997.0,1319.4344838709676,750596548.3870968,9663970193.548388
1997Q3,1997.0,1174.5002307692305,422681407.6923077,4157455615.3846154
1997Q4,1997.0,1162.1584603174601,316158479.36507934,3200876047.6190476
1998Q1,1998.0,1212.7777307692306,415018273.0769231,4453512403.846154
1998Q2,1998.0,1353.3132031250002,865018628.125,7784020828.125
1998Q3,1998.0,1242.3771969696968,572018507.5757576,4449455772.727273
1998Q4,1998.0,1227.214984375,485262826.5625,4308763125.0
1999Q1,1999.0,1141.7683199999997,513804548.0,3505024320.0
1999Q2,1999.0,1261.451578125,1609217198.4375,12101323421.875
1999Q3,1999.0,1600.9238636363634,1160737896.969697,9915612166.666666
1999Q4,1999.0,1452.537949152543,568866332.2033899,3811785050.8474574
2000Q1,2000.0,1617.8395925925927,2089985938.8888888,19231933685.185184
2000Q2,2000.0,1852.8084833333332,1364979303.3333333,13732028350.0
2000Q3,2000.0,1995.1461538461529,977324587.6923077,11584795446.153847
2000Q4,2000.0,2026.3464333333327,1056999228.3333334,10459457950.0
2001Q1,2001.0,2023.1241481481475,1220225514.8148148,10731595370.37037
2001Q2,2001.0,2177.8006499999997,1741440188.3333333,15413756745.766666
2001Q3,2001.0,1958.7727076923077,628829401.7692307,7032806639.338462
2001Q4,2001.0,1676.0658852459017,579995913.1147541,6355747427.868853
2002Q1,2002.0,1544.7183333333335,984452678.4313725,9489172582.980392
2002Q2,2002.0,1594.2050999999997,880854926.6666666,8708921008.433332
2002Q3,2002.0,1660.3960923076932,598939973.8461539,6049024017.338462
2002Q4,2002.0,1460.2474098360656,592853422.9508197,4859655610.196721
2003Q1,2003.0,1468.3140357142856,954788680.3571428,7553842559.946428
2003Q2,2003.0,1545.631155172414,1521071986.2068965,12341319949.5
2003Q3,2003.0,1455.4908787878785,664862822.7272727,5404169419.681818
2003Q4,2003.0,1406.4260163934428,1369371195.081967,9592448374.67213
2004Q1,2004.0,1671.185553571429,2287126839.285714,18707302101.892857
2004Q2,2004.0,1572.1309333333338,1236977420.0,10112272196.383333
2004Q3,2004.0,1383.736636363636,1213236554.5454545,7728813297.590909
2004Q4,2004.0,1329.3786721311476,1283310563.9344263,7900639192.393442
2005Q1,2005.0,1251.7461785714281,1306472716.0714285,7371561623.267858
2005Q2,2005.0,1126.8316166666666,1477109941.6666667,7451257348.05
2005Q3,2005.0,1127.175363636364,2254992563.6363635,10063484615.878788
2005Q4,2005.0,1117.6334499999996,1464613500.0,6649079912.883333
2006Q1,2006.0,1266.3665535714283,2537603476.785714,12519159322.125
2006Q2,2006.0,1530.2848166666668,4946979371.666667,27722268841.0
2006Q3,2006.0,1663.7150153846153,3494289190.769231,19556055043.56923
2006Q4,2006.0,2032.3172666666674,6036651935.0,35754332008.75
2007Q1,2007.0,2882.9842280701764,10924016831.578947,87596305722.82455
2007Q2,2007.0,3867.4393666666683,14125595263.333334,177692594631.41666
2007Q3,2007.0,4724.246661538462,9264999147.692308,134836954084.9077
2007Q4,2007.0,5367.8161666666665,5998627441.666667,102031023210.51666
2008Q1,2008.0,4482.636474576273,6650536347.457627,109147481385.81355
2008Q2,2008.0,3316.2774426229507,6247900980.327868,81476476931.32787
2008Q3,2008.0,2507.8353492063493,5437473382.539682,49640611058.61905
2008Q4,2008.0,1921.6975396825403,8130785534.920635,55212219757.349205
2009Q1,2009.0,2143.477140350877,13097956042.105263,107214759971.92982
2009Q2,2009.0,2640.606131147542,14143068891.803278,139471004185.18033
2009Q3,2009.0,3060.1723787878777,14629772940.90909,165011640459.0
2009Q4,2009.0,3158.974216666666,13147152013.333334,151640861764.26666
2010Q1,2010.0,3075.6526896551736,9879964553.448277,118344254532.39655
2010Q2,2010.0,2760.7519833333336,8655160220.0,100592685397.33333
2010Q3,2010.0,2589.068492063492,10098766850.793652,104344295456.50793
2010Q4,2010.0,2917.3177213114755,14137401245.90164,178856586256.7869
2011Q1,2011.0,2863.365931034483,11078961558.62069,135946478909.7931
2011Q2,2011.0,2838.91162295082,9380207639.344263,108466102540.59016
2011Q3,2011.0,2608.2425999999996,7637263138.461538,83459281778.21538
2011Q4,2011.0,2365.6167666666665,6663358066.666667,62694524859.73333
2012Q1,2012.0,2342.8166034482756,8771235234.48276,81030010244.41379
2012Q2,2012.0,2343.409847457627,8306853850.847458,78273433322.30508
2012Q3,2012.0,2119.160215384615,6378295612.307693,54135985703.38461
2012Q4,2012.0,2087.8682786885247,7740428622.95082,58242989139.934425
2013Q1,2013.0,2324.1317321428564,12186456585.714285,105822293869.71428
2013Q2,2013.0,2204.5121052631575,9376188231.578947,82490947763.64912
2013Q3,2013.0,2085.3046874999995,11959309543.75,100387124800.0
2013Q4,2013.0,2169.7764918032785,10879560013.114754,95360694574.16394
2014Q1,2014.0,2051.6359137931036,10220302358.62069,86478210012.68965
2014Q2,2014.0,2049.4651311475413,8477278432.786885,68661667067.803276
2014Q3,2014.0,2203.4975999999997,16178101255.384615,134330501970.70769
2014Q4,2014.0,2641.36168852459,34052695422.95082,319529243631.21313
2015Q1,2015.0,3338.989087719299,35255287073.68421,407336170118.7368
2015Q2,2015.0,4484.293548387098,58407908129.03226,853106479568.371
2015Q3,2015.0,3539.7490625,42617760900.0,508011848960.0
2015Q4,2015.0,3494.527475409837,29322255508.19672,374558352185.3771
